name,new_name
Teddy's Bigger Burgers,Teddy's Bigger Burgers
Tellers Tap Room & Kitchen,Tellers Tap Room & Kitchen
The Agora,The Agora
The Biscuit Factory,The Biscuit Factory
The Break Away Sports Cafe,The Break Away Sports Cafe
The Chicken Place,The Chicken Place
The Flame Broiler,The Flame Broiler
The Great Steak & Potato Co.,The Great Steak & Potato Co.
The Halal Guys,The Halal Guys
The Honeybaked Ham Company,The Honeybaked Ham Company
The People Connection,The People Connection
The Pita Pit,The Pita Pit
The Pizza Pipe Line,The Pizza Pipe Line
The Press Club,The Press Club
Thrasher's French Fries,Thrasher's French Fries
Thrashers French Fries,Thrashers French Fries
Thunder Ridge Ampride,Thunder Ridge Ampride
Tina's Carryout Restaurant,Tina's Carryout Restaurant
Tom & Jerry's,Tom & Jerry's
Tom's Drive In,Tom's Drive In
Tom's Grill,Tom's Grill
Tommy's Sub Shop,Tommy's Sub Shop
Topper's Pizza,Topper's Pizza
Toppers Pizza,Toppers Pizza
Travelcenters of America,Travelcenters of America
Tropical Smoothie Cafe,Tropical Smoothie Cafe
Tubby's Grilled Submarines,Tubby's Grilled Submarines
Tudor's Biscuit World,Tudor's Biscuit World
Twisters,Twisters
Vista Drive In,Vista Drive In
Waffle House,Waffle House
Wendy Two Two Eight,Wendy Two Two Eight
Wendy's,Wendy's
Wendys,Wendys
Wetzel's Pretzels,Wetzel's Pretzels
Whataburger,Whataburger
White Castle,White Castle
White Manna Hamburgers,White Manna Hamburgers
Wienerschnitzel,Wienerschnitzel
Windmill Gourmet Fast Foods,Windmill Gourmet Fast Foods
Wings And Philly,Wings And Philly
Wings N' More Wings,Wings N' More Wings
Wingstop,Wingstop
Wingstreet,Wingstreet
Woody's Sloppy Dogs,Woody's Sloppy Dogs
World Wrapps,World Wrapps
Wu's Fine Chinese Cuisine,Wu's Fine Chinese Cuisine
Yellow Cab Pizza Co.,Yellow Cab Pizza Co.
Yoshinoya,Yoshinoya
Your Healthy Habit,Your Healthy Habit
Yum Brands Inc,Yum Brands Inc
Zaxby's,Zaxby's
Zip's Hamburgers And Fish,Zip's Hamburgers And Fish
Ziti's Italian Express,Ziti's Italian Express
b.good,b.good
